giver_orig,giver,giver_wiki,giver_name,WikidataID
"His Excellency Flt. Lt. Jerry John Rawlings, (Ret.), The President of the Republic of Ghana and Mrs. Rawlings","Flt. Lt. Jerry John Rawlings, (Ret.), The President of the Republic of Ghana and Rawlings",,Flt. Lt. Jerry John Rawlings,
"His Excellency Suleyman Demirel, The President of the Republic of Turkey and Mrs. Demirel","Suleyman Demirel, The President of the Republic of Turkey and Demirel",,Suleyman Demirel,
"The Honorable Viktorija Potocnik, Mayor of Ljubljana Slovenia","Viktorija Potocnik, Mayor of Ljubljana Slovenia",,Viktorija Potocnik,
"The Honorable Kemal Nehrozoglu, Governor of the Province Izmir","Kemal Nehrozoglu, Governor of the Province Izmir",,Kemal Nehrozoglu,
"His Excellency Constantinos Stephanopoulos, President of the Hellenic Republic","Constantinos Stephanopoulos, President of the Hellenic Republic",,Constantinos Stephanopoulos,
"General Selmy Selim, President of Supreme Council, Egypt","General Selmy Selim, President of Supreme Council, Egypt",,Selmy Selim,
"The Honorable Muhammid El Hashim Guedria, Governor of Mahidia, The Republic of Tunisia","Muhammid El Hashim Guedria, Governor of Mahidia, The Republic of Tunisia",,Muhammid El Hashim Guedria,
"Mrs. Leila Ben Ali, Office of the President of the Republic of Tunisia","Leila Ben Ali, Office of the President of the Republic of Tunisia",,Leila Ben Ali,
"His Excellency Abdul Kareem Kabariti, The Chief of the Royal Court and Mrs. Kabariti, Amman, Jordan","Abdul Kareem Kabariti, The Chief of the Royal Court and Kabariti, Amman, Jordan",,Abdul Kareem Kabariti,
"Mrs. Marguerite Kerekou, First Lady of Benin","Marguerite Kerekou, of Benin",,Marguerite Kerekou,
"Maitre Mohamed Debbagh, President of the Municipal Council Fez, Morocco","Maitre Mohamed Debbagh, President of the Municipal Council Fez, Morocco",,Maitre Mohamed Debbagh,
"His Excellency Bronislaw Geremek, Minister of Foreign Affairs of the Republic of Poland","Bronislaw Geremek, Minister of Foreign Affairs of the Republic of Poland",,Bronislaw Geremek,
"The Honorable Ertugrul Dokuzoglu, Governor of the Province of Antalya, Turkey","Ertugrul Dokuzoglu, Governor of the Province of Antalya, Turkey",,Ertugrul Dokuzoglu,
"His Excellency Abdelsam Jaidi, Consul General of the Kingdom of Morocco","Abdelsam Jaidi, Consul General of the Kingdom of Morocco",,Abdelsam Jaidi,
"Her Excellency Faiza Kefi, Minister of Environment and Land Development of the Republic of Tunisia","Faiza Kefi, Minister of Environment and Land Development of the Republic of Tunisia",,Faiza Kefi,
"The Honorable Moulay Mustapha Ait Mauma, Governor of Errachidia, Morocco","Moulay Mustapha Ait Mauma, Governor of Errachidia, Morocco",,Moulay Mustapha Ait Mauma,
"His Majesty Hassan II, King of Morocco","Hassan II, King of Morocco",,Hassan II,
"The Honorable Istemihan Talay, The Minister of Culture, Republic of Turkey and Mrs. Talay","Istemihan Talay, The Minister of Culture, Republic of Turkey and Talay",,Istemihan Talay,
"His Excellency Abdulazziz Kamilov, Minister of Foreign Affairs of the Republic of Uzbekistan","Abdulazziz Kamilov, Minister of Foreign Affairs of the Republic of Uzbekistan",,Abdulazziz Kamilov,
"His Excellency Yusuf bin Alawi Bin Abdullah, The Minister Responsible for Foreign Affairs of the Sultanate of Oman","Yusuf bin Alawi Bin Abdullah, The Minister Responsible for Foreign Affairs of the Sultanate of Oman",,Yusuf bin Alawi Bin Abdullah,
"The Honorable A. Tsohatzopoulos, Minister of National Defense, Hellenic Republic","A. Tsohatzopoulos, Minister of National Defense, Hellenic Republic",,A. Tsohatzopoulos,
"The Honorable Aliyu Mohammadd, Nigerian National Security Advisor","Aliyu Mohammadd, Nigerian National Security Advisor",,Aliyu Mohammadd,
President Milo Djukanovic of the Republic of Montenegro,President Milo Djukanovic of the Republic of Montenegro,,Milo Djukanovic of the Republic of Montenegro,
"Air Marshal Ahmed Shafik, Egyptian Air Force","Air Marshal Ahmed Shafik, Egyptian Air Force",,Ahmed Shafik,
"General Fernando Rojas, Chief of Staff Chilean Air Force","General Fernando Rojas, Chief of Staff Chilean Air Force",,Fernando Rojas,
"Superintendent General Yum Joe Lee, Attache
                                
                                , Embassy of the Republic of Korea, Washington, DC","Superintendent General Yum Joe Lee, Attache
                                
                                , Embassy of the Republic of Korea, Washington, DC",,Yum Joe Lee,
"Superintendent General Yum Joe, Attache
                                
                                , Embassy of the Republic of Korea, Washington, DC","Superintendent General Yum Joe, Attache
                                
                                , Embassy of the Republic of Korea, Washington, DC",,Yum Joe,
"Col. Sultan Bin Farhan Al-Milhin, Royal Saudi Air Force Peace Shield Project Officer","Col. Sultan Bin Farhan Al-Milhin, Royal Saudi Air Force Peace Shield Project Officer",,Col. Sultan Bin Farhan Al-Milhin,
5 U.S.C. 7343(f)(4),5 U.S.C. 7343(f)(4),,5 U.S.C. 7343(f)(4),
"H.E. Osama Faqih, Minister of Commerce of Saudi Arabia/Riyadh","Osama Faqih, Minister of Commerce of Saudi Arabia/Riyadh",,Osama Faqih,
"H.H. Sultan Bin Zayed Al Nahyan, Deputy Prime Minister of the United Arab Emirates, Abu Dhabi","H.H. Sultan Bin Zayed Al Nahyan, Deputy Prime Minister of the United Arab Emirates, Abu Dhabi",,H.H. Sultan Bin Zayed Al Nahyan,
"Essa Bin Salman Al Khalifa, The Amir of the State of Bahrain","Essa Bin Salman Al Khalifa, The Amir of the State of Bahrain",,Essa Bin Salman Al Khalifa,
"Gen. Abdulsalami A. Abubakar, Head of State of the Republic of Nigeria","Gen. Abdulsalami A. Abubakar, Head of State of the Republic of Nigeria",,Gen. Abdulsalami A. Abubakar,
"Lt. Gen. Magdy Hatata, Chief of Staff, Egyptian Armed Forces","Lt. Gen. Magdy Hatata, Chief of Staff, Egyptian Armed Forces",,Lt. Gen. Magdy Hatata,
"General Lieutenant David Tevzadze, Minister of Defense, Republic of Georgia","General Lieutenant David Tevzadze, Minister of Defense, Republic of Georgia",,Lieutenant David Tevzadze,
"H.E. Shaykh Salim al-Sabah Al-Salim Al Sahah, Minister of Defense","Shaykh Salim al-Sabah Al-Salim Al Sahah, Minister of Defense",,Shaykh Salim al-Sabah Al-Salim Al Sahah,
"Lt. General Ali, Chief of Defense, Kuwait","Lt. General Ali, Chief of Defense, Kuwait",,Ali,
LTG Henryk Szumski,LTG Henryk Szumski,,LTG Henryk Szumski,
"General and Mrs. Al-Attayah, Chief of Staff, Qatar Armed Forces","General and Al-Attayah, Chief of Staff, Qatar Armed Forces",,and Al-Attayah,
"Sheikh Salman, Under Secretary of Defense Policy, Bahrain MOD","Sheikh Salman, Under Secretary of Defense Policy, Bahrain MOD",,Sheikh Salman,
"Essa Bin Salman al Khalifa, Amir of Bahrain","Essa Bin Salman al Khalifa, Amir of Bahrain",,Essa Bin Salman al Khalifa,
"Col. Mohammed al-Sobaie, Military Liaison Officer, Embassy of Kuwait","Col. Mohammed al-Sobaie, Military Liaison Officer, Embassy of Kuwait",,Col. Mohammed al-Sobaie,
Saudi Arabia Mabahith,Saudi Arabia Mabahith,,Saudi Arabia Mabahith,
Col Ahem Al-Al-Yatama—Kuwait,Col Ahem Al-Al-Yatama—Kuwait,,Col Ahem Al-Al-Yatama—Kuwait,
Lt. Gen. Hattata—Chief of Staff (Egypt),Lt. Gen. Hattata—Chief of Staff (Egypt),,Lt. Gen. Hattata—Chief of Staff (Egypt),
Sheikh Isa bin Sulman Al-Khalifa—Amir of Bahrain,Sheikh Isa bin Sulman Al-Khalifa—Amir of Bahrain,,Sheikh Isa bin Sulman Al-Khalifa—Amir of Bahrain,
Sheikh Saud Nasser—Kuwait Minister of Oil,Sheikh Saud Nasser—Kuwait Minister of Oil,,Sheikh Saud Nasser—Kuwait Minister of Oil,
"Mrs. Marguerite Midjo Keredou, c/o Embassy of the Republic of Benin","Marguerite Midjo Keredou, c/o Embassy of the Republic of Benin",,Marguerite Midjo Keredou,
"Mr. and Mrs. Vardis and Mariana Vardinoyannis, Athens","and Vardis and Mariana Vardinoyannis, Athens",,and Vardis and Mariana Vardinoyannis,
"Nursultan Nazabayez, President of the Republic of Kazakhstan","Nursultan Nazabayez, President of the Republic of Kazakhstan",,Nursultan Nazabayez,
"Prime Minister Jean Chretien, Prime Minister of Canada","Prime Minister Jean Chretien, Prime Minister of Canada",,Prime Minister Jean Chretien,
"Roberto B. Saladin Selin, Ambassador of the Dominican Republic, Washington, DC","Roberto B. Saladin Selin, Ambassador of the Dominican Republic, Washington, DC",,Roberto B. Saladin Selin,
"Yuriy Viktorovich Ushakov, Ambassador Extraordinary and Plenipotentiary of the Russian Federation, Washington, DC","Yuriy Viktorovich Ushakov, Ambassador Extraordinary and Plenipotentiary of the Russian Federation, Washington, DC",,Yuriy Viktorovich Ushakov,
"Buzek, Jerzy—Prime Minister of Poland","Buzek, Jerzy—Prime Minister of Poland",,Buzek,
Maj. Gen. Ye Myint of Myanmar,Maj. Gen. Ye Myint of Myanmar,,Maj. Gen. Ye Myint of Myanmar,
Lt. Gen. And Mrs. Khin Myunt of Myanmar,Lt. Gen. And Khin Myunt of Myanmar,,Lt. Gen. And Khin Myunt of Myanmar,
President B.J. Habibie of Indonesia,President B.J. Habibie of Indonesia,,B.J. Habibie of Indonesia,
"Harold Romer, Deputy Secretary General of the European Parliament","Harold Romer, Deputy Secretary General of the European Parliament",,Harold Romer,
President Weizman—Israel,President Weizman—Israel,,Weizman—Israel,
Chairman Yasser Arafat (PLO),Chairman Yasser Arafat (PLO),,Chairman Yasser Arafat (PLO),
Lagos Government,Lagos Government,,Lagos Government,
Government of Bahrain,Government of Bahrain,,Government of Bahrain,
Foreign Government—Nicosia,Foreign Government—Nicosia,,Foreign Government—Nicosia,
Burundian Royal Family Member,Burundian Royal Family Member,,Burundian Royal Family Member,
Wife of Ministry of Defense official,Wife of Ministry of Defense official,,Wife of Ministry of Defense official,
Greek Official at the Thessaloniki Trade Fair,Greek Official at the Thessaloniki Trade Fair,,Greek Official at the Thessaloniki Trade Fair,
Ghassan Al Khalili,Ghassan Al Khalili,,Ghassan Al Khalili,
"Almutasim Bin Hamoud Al Busaidi, Minister of State and Governor of Muscat","Almutasim Bin Hamoud Al Busaidi, Minister of State and Governor of Muscat",,Almutasim Bin Hamoud Al Busaidi,
Leading Member of Dubai Business Community,Leading Member of Dubai Business Community,,Leading Member of Dubai Business Community,
Saudi Crown Abdullah bin Abdul Aziz Al Saud,Saudi Crown Abdullah bin Abdul Aziz Al Saud,,Saudi Crown Abdullah bin Abdul Aziz Al Saud,
Government of Buhrain,Government of Buhrain,,Government of Buhrain,
The Hinduja Group,The Hinduja Group,,The Hinduja Group,
"Mr. Islom, President of Uzbekistan","Islom, President of Uzbekistan",,Islom,
"General Samih Battikhi, Chief of Jordanian Intelligence","General Samih Battikhi, Chief of Jordanian Intelligence",,Samih Battikhi,
Leading Member of Dubai Chamber of Commerce,Leading Member of Dubai Chamber of Commerce,,Leading Member of Dubai Chamber of Commerce,
Ahmed Zaki Yamani of Dallah Real Estate and Tourism Company—Jeddah,Ahmed Zaki Yamani of Dallah Real Estate and Tourism Company—Jeddah,,Ahmed Zaki Yamani of Dallah Real Estate and Tourism Company—Jeddah,
"Amir, Shaikh Isa Bin Salman Al-Khalifa, Bahrain","Amir, Shaikh Isa Bin Salman Al-Khalifa, Bahrain",,Amir,
"Princess Shamsa al-Saud, Jeddah","Princess Shamsa al-Saud, Jeddah",,Princess Shamsa al-Saud,
Amir of Bahrain,Amir of Bahrain,,Amir of Bahrain,
Foreign Minister of Bahrain,Foreign Minister of Bahrain,,Foreign Minister of Bahrain,
"H.R.H. Prince Turki Al-Faisal bin Abdul Aziz al Saud, Director of Intelligence","Prince Turki Al-Faisal bin Abdul Aziz al Saud, Director of Intelligence",,Prince Turki Al-Faisal bin Abdul Aziz al Saud,
"President Habibie, Indonesia","President Habibie, Indonesia",,Habibie,
Visiting Delegation of Afghanistan,Visiting Delegation of Afghanistan,,Visiting Delegation of Afghanistan,
Visiting Delegation from Afghanistan,Visiting Delegation from Afghanistan,,Visiting Delegation from Afghanistan,
Ahmed Zaki Yamani of Dallah Real Estate and Tourism Co.—Jeddah,Ahmed Zaki Yamani of Dallah Real Estate and Tourism Co.—Jeddah,,Ahmed Zaki Yamani of Dallah Real Estate and Tourism Co.—Jeddah,
"Crown Prince Sultan bin Abdul Aziz, Saudi Arabia","Crown Prince Sultan bin Abdul Aziz, Saudi Arabia",,Crown Prince Sultan bin Abdul Aziz,
"Amir Shaikh Isa Bin Salman Al-Khalifa, Bahrain","Amir Shaikh Isa Bin Salman Al-Khalifa, Bahrain",,Amir Shaikh Isa Bin Salman Al-Khalifa,
"Airports Council International, Richmond, B.C., Canada","Airports Council International, Richmond, B.C., Canada",,Airports Council International,
"Barbados Tourist Board, Barbados","Barbados Tourist Board, Barbados",,Barbados Tourist Board,
Hashemite Kingdom of Jordan,Hashemite Kingdom of Jordan,,Hashemite Kingdom of Jordan,
Norway,Norway,,Norway,
Burma,Burma,,Burma,
United Kingdom of Great Britain,United Kingdom of Great Britain,,United Kingdom of Great Britain,
Republic of Turkey,Republic of Turkey,,Republic of Turkey,
World Food Programme (UN),World Food Programme (UN),,World Food Programme (UN),
Japan,Japan,,Japan,
Government of Cuba,Government of Cuba,,Government of Cuba,
Government of Peru,Government of Peru,,Government of Peru,
Government of Belgium,Government of Belgium,,Government of Belgium,
"His Excellency Iván Duque, President of the Republic of Colombia","Iván Duque, President of the Republic of Colombia",,Iván Duque,
"His Majesty Sultan Haji Hassanal Bolkiah Mu'izzaddin Waddaulah Ibni Al-Marhum Sultan Haji Omar 'Ali Saifuddien Sa'adul Khairi Waddien, Sultan and Yang Di-Pertuan of Brunei Darussalam","Sultan Haji Hassanal Bolkiah Mu'izzaddin Waddaulah Ibni Al-Marhum Sultan Haji Omar 'Ali Saifuddien Sa'adul Khairi Waddien, Sultan and Yang Di-Pertuan of Brunei Darussalam",,Sultan Haji Hassanal Bolkiah Mu'izzaddin Waddaulah Ibni Al-Marhum Sultan Haji Omar 'Ali Saifuddien Sa'adul Khairi Waddien,
"Ms. Mareva Grabowski-Mitsotakis, Spouse of the Prime Minister of the Hellenic Republic","Mareva Grabowski-Mitsotakis, Spouse of the Prime Minister of the Hellenic Republic",,Mareva Grabowski-Mitsotakis,
"His Royal Highness Sheikh Tamim bin Hamad Al Thani, Emir of the State of Qatar","Sheikh Tamim bin Hamad Al Thani, Emir of the State of Qatar",,Sheikh Tamim bin Hamad Al Thani,
"His Excellency Marcelo Ebrard Casaubon, Foreign Secretary of Mexico","Marcelo Ebrard Casaubon, Foreign Secretary of Mexico",,Marcelo Ebrard Casaubon,
"His Excellency Pham Minh Chính, Prime Minister of the Socialist Republic of Vietnam","Pham Minh Chính, Prime Minister of the Socialist Republic of Vietnam",,Pham Minh Chính,
"His Excellency Dato' Sri Ismail Sabribin Yaakob, Prime Minister of Malaysia","Dato' Sri Ismail Sabribin Yaakob, Prime Minister of Malaysia",,Dato' Sri Ismail Sabribin Yaakob,
"His Majesty Felipe VI, King of Spain","Felipe VI, King of Spain",,Felipe VI,
"Mr. Hanna Hanania, Mayor of Bethlehem, Palestinian Authority","Hanna Hanania, Mayor of Bethlehem, Palestinian Authority",,Hanna Hanania,
"His Highness, Sheikh Mishaal Al-Ahmed Al-Jaber Al-Sabah, Crown Prince of the State of Kuwait","Sheikh Mishaal Al-Ahmed Al-Jaber Al-Sabah, Crown Prince of the State of Kuwait",,Sheikh Mishaal Al-Ahmed Al-Jaber Al-Sabah,
"His Royal Highness Muhammad bin Salman bin Abdulaziz Al Saud, Crown Prince, Deputy Prime Minister, and Minister of Defense of the Kingdom of Saudi Arabia","Muhammad bin Salman bin Abdulaziz Al Saud, Crown Prince, Deputy Prime Minister, and Minister of Defense of the Kingdom of Saudi Arabia",,Muhammad bin Salman bin Abdulaziz Al Saud,
"His Excellency Ferdinand R. Marcos, Jr., President of the Republic of Philippines","Ferdinand R. Marcos, Jr., President of the Republic of Philippines",,Ferdinand R. Marcos,
"ASEAN East Asia Summit 2022 Host Committee, Government of the Kingdom of Cambodia","ASEAN East Asia Summit 2022 Host Committee, Government of the Kingdom of Cambodia",,ASEAN East Asia Summit 2022 Host Committee,
"G20 Host Committee, Government of the Republic of Indonesia","G20 Host Committee, Government of the Republic of Indonesia",,G20 Host Committee,
"Her Majesty Letizia, Queen of Spain","Letizia, Queen of Spain",,Letizia,
"Mrs. Mareva Mitsotakis, Spouse of the Prime Minister of the Hellenic Republic","Mareva Mitsotakis, Spouse of the Prime Minister of the Hellenic Republic",,Mareva Mitsotakis,
"Mrs. Kobita Jugnauth, Spouse of the Prime Minister of the Republic of Mauritius","Kobita Jugnauth, Spouse of the Prime Minister of the Republic of Mauritius",,Kobita Jugnauth,
"His Excellency Itthiphol Kunplome, Minister of Culture of the Kingdom of Thailand","Itthiphol Kunplome, Minister of Culture of the Kingdom of Thailand",,Itthiphol Kunplome,
"The Honorable Edward S. Hagedorn, Congressman, 3rd District, House of Representatives of the Republic of the Philippines","Edward S. Hagedorn, Congressman, 3rd District, House of Representatives of the Republic of the Philippines",,Edward S. Hagedorn,
"His Excellency Mohamed Menfi, President of Libya","Mohamed Menfi, President of Libya",,Mohamed Menfi,
"His Excellency Mohammed bin Abdulrahman Al-Thani, Deputy Prime Minister and Minister of Foreign Affairs of the State of Qatar","Mohammed bin Abdulrahman Al-Thani, Deputy Prime Minister and Minister of Foreign Affairs of the State of Qatar",,Mohammed bin Abdulrahman Al-Thani,
